DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2010-08-31,9,2,392,47,23,4,2,817
2010-09-01,9,2,406,49,24,4,2,824
2010-09-02,7,1,329,39,19,3,1,830
2010-09-03,8,2,362,44,22,4,2,836
2010-09-04,8,2,537,64,31,4,2,842
2010-09-05,8,2,528,63,31,4,2,848
2010-09-06,10,2,444,54,27,5,2,856
2010-09-07,9,2,394,48,24,4,2,863
2010-09-08,8,2,331,40,20,4,2,869
2010-09-09,10,2,415,51,25,5,2,877
2010-09-10,11,2,462,56,28,5,2,886
2010-09-11,10,2,632,76,37,5,2,894
2010-09-12,8,2,488,60,30,4,2,900
2010-09-13,9,2,365,45,22,4,2,907
2010-09-14,10,2,434,53,26,5,2,915
2010-09-15,8,2,358,44,22,4,2,921
2010-09-16,10,2,404,50,25,5,2,929
2010-09-17,10,2,418,51,25,5,2,937
2010-09-18,8,2,530,64,31,4,2,943
2010-09-19,9,2,583,72,36,4,2,950
2010-09-20,6,1,264,32,16,3,1,955
2010-09-21,8,2,352,43,21,4,2,961
2010-09-22,9,2,384,47,23,4,2,968
2010-09-23,8,2,345,43,21,4,2,974
2010-09-24,11,2,461,57,28,5,2,983
2010-09-25,8,2,512,63,31,4,2,989
2010-09-26,9,2,573,70,34,4,2,996
2010-09-27,10,2,405,50,25,5,2,1004
2010-09-28,11,2,460,57,28,5,2,1013
2010-09-29,8,2,345,43,21,4,2,1019
2010-09-30,11,2,452,56,28,5,2,1028
2010-10-01,10,2,406,50,25,5,2,1036
2010-10-02,9,2,552,69,34,4,2,1043
2010-10-03,10,2,642,79,39,5,2,1051
2010-10-04,10,2,419,52,26,5,2,1059
2010-10-05,9,2,387,48,24,4,2,1066
2010-10-06,10,2,417,52,26,5,2,1074
2010-10-07,9,2,399,49,24,4,2,1081
2010-10-08,10,2,422,52,26,5,2,1089
2010-10-09,11,2,669,82,40,5,2,1098
2010-10-10,12,3,731,90,45,6,3,1107
2010-10-11,9,2,369,46,23,4,2,1114
2010-10-12,12,3,514,64,32,6,3,1123
2010-10-13,8,2,343,42,21,4,2,1129
2010-10-14,10,2,421,52,26,5,2,1137
2010-10-15,11,2,454,56,28,5,2,1146
2010-10-16,11,2,666,82,40,5,2,1155
2010-10-17,10,2,609,75,37,5,2,1163
2010-10-18,10,2,426,52,26,5,2,1171
2010-10-19,10,2,416,51,25,5,2,1179
2010-10-20,10,2,413,51,25,5,2,1187
2010-10-21,11,2,479,59,29,5,2,1196
2010-10-22,11,2,459,56,28,5,2,1205
2010-10-23,10,2,623,76,37,5,2,1213
2010-10-24,12,3,733,90,45,6,3,1222
2010-10-25,11,2,464,56,28,5,2,1231
2010-10-26,11,2,489,59,29,5,2,1240
2010-10-27,11,2,483,59,29,5,2,1249
2010-10-28,10,2,419,51,25,5,2,1257
2010-10-29,10,2,434,52,26,5,2,1265
2010-10-30,12,3,745,90,45,6,3,1274
2010-10-31,11,2,739,88,43,5,2,1283
2010-11-01,11,2,466,56,28,5,2,1292
2010-11-02,11,2,475,57,28,5,2,1301
2010-11-03,12,3,532,64,32,6,3,1310
2010-11-04,10,2,446,53,26,5,2,1318
2010-11-05,12,3,503,60,30,6,3,1327
2010-11-06,11,2,705,84,42,5,2,1336
2010-11-07,11,2,708,84,42,5,2,1345
2010-11-08,12,3,2156,64,128,24,12,1354
2010-11-09,12,3,528,62,31,6,3,1363
2010-11-10,12,3,531,63,31,6,3,1372
2010-11-11,13,3,558,66,33,6,3,1382
2010-11-12,11,2,497,58,29,5,2,1391
2010-11-13,12,3,801,93,46,6,3,1400
2010-11-14,11,2,730,85,42,5,2,1409
2010-11-15,12,3,522,61,30,6,3,1418
2010-11-16,11,2,502,58,29,5,2,1427
2010-11-17,12,3,516,60,30,6,3,1436
2010-11-18,12,3,546,63,31,6,3,1445
2010-11-19,11,2,475,55,27,5,2,1454
2010-11-20,14,3,946,108,54,7,3,1465
2010-11-21,10,2,707,81,40,5,2,1473
2010-11-22,10,2,463,53,26,5,2,1481
2010-11-23,13,3,592,67,33,6,3,1491
2010-11-24,13,3,577,65,32,6,3,1501
2010-11-25,12,3,570,64,32,6,3,1510
2010-11-26,13,3,575,65,32,6,3,1520
2010-11-27,12,3,815,91,45,6,3,1529
2010-11-28,11,2,747,84,42,5,2,1538
2010-11-29,12,3,555,62,31,6,3,1547
2010-11-30,11,2,517,57,28,5,2,1556
2010-12-01,13,3,612,68,34,6,3,1566
2010-12-02,12,3,553,61,30,6,3,1575
2010-12-03,11,2,518,57,28,5,2,1584
2010-12-04,12,3,826,90,45,6,3,1593
2010-12-05,13,3,894,97,48,6,3,1603
2010-12-06,11,2,543,59,29,5,2,1612
2010-12-07,11,2,531,58,29,5,2,1621
2010-12-08,13,3,597,65,32,6,3,1631
2010-12-09,13,3,601,65,32,6,3,1641
2010-12-10,12,3,561,60,30,6,3,1650
2010-12-11,12,3,850,91,45,6,3,1659
2010-12-12,13,3,918,97,48,6,3,1669
2010-12-13,11,2,514,55,27,5,2,1678
2010-12-14,11,2,521,55,27,5,2,1687
2010-12-15,12,3,566,60,30,6,3,1696
2010-12-16,12,3,600,63,31,6,3,1705
2010-12-17,13,3,636,67,33,6,3,1715
2010-12-18,14,3,1069,111,55,7,3,1726
2010-12-19,14,3,1019,106,52,7,3,1737
2010-12-20,12,3,619,64,32,6,3,1746
2010-12-21,13,3,632,65,32,6,3,1756
2010-12-22,11,2,573,59,29,5,2,1765
2010-12-23,13,3,640,66,33,6,3,1775
2010-12-24,12,3,627,64,32,6,3,1784
2010-12-25,13,3,1007,102,51,6,3,1794
2010-12-26,12,3,900,91,45,6,3,1803
2010-12-27,14,3,692,70,35,7,3,1814
2010-12-28,15,3,764,77,38,7,3,1826
2010-12-29,13,3,659,66,33,6,3,1836
2010-12-30,14,3,698,70,35,7,3,1847
2010-12-31,14,3,721,72,36,7,3,1858
2011-01-01,13,3,978,97,48,6,3,1868
2011-01-02,13,3,1047,103,51,6,3,1878
2011-01-03,13,3,688,68,34,6,3,1888
2011-01-04,13,3,698,69,34,6,3,1898
2011-01-05,12,3,641,63,31,6,3,1907
2011-01-06,13,3,701,69,34,6,3,1917
2011-01-07,14,3,739,72,36,7,3,1928
2011-01-08,15,3,1218,118,58,7,3,1940
2011-01-09,15,3,1172,114,57,7,3,1952
2011-01-10,16,4,872,84,42,8,4,1964
2011-01-11,12,3,666,64,32,6,3,1973
2011-01-12,15,3,789,76,38,7,3,1985
2011-01-13,14,3,743,71,35,7,3,1996
2011-01-14,17,4,895,85,42,8,4,2009
2011-01-15,12,3,1018,96,48,6,3,2018
2011-01-16,12,3,1021,96,48,6,3,2027
2011-01-17,13,3,702,66,33,6,3,2037
2011-01-18,11,2,592,56,28,5,2,2046
2011-01-19,13,3,716,67,33,6,3,2056
2011-01-20,13,3,702,66,33,6,3,2066
2011-01-21,14,3,776,72,36,7,3,2077
2011-01-22,14,3,1193,111,55,7,3,2088
2011-01-23,17,4,1377,127,63,8,4,2101
2011-01-24,15,3,852,79,39,7,3,2113
2011-01-25,13,3,736,68,34,6,3,2123
2011-01-26,13,3,715,66,33,6,3,2133
2011-01-27,15,3,829,76,38,7,3,2145
2011-01-28,12,3,689,63,31,6,3,2154
2011-01-29,17,4,1417,129,64,8,4,2167
2011-01-30,16,4,1347,123,61,8,4,2179
2011-01-31,14,3,769,70,35,7,3,2190
2011-02-01,12,3,672,61,30,6,3,2199
2011-02-02,16,4,926,83,41,8,4,2211
2011-02-03,14,3,810,73,36,7,3,2222
2011-02-04,16,4,926,83,41,8,4,2234
2011-02-05,12,3,1043,93,46,6,3,2243
2011-02-06,14,3,1173,105,52,7,3,2254
2011-02-07,14,3,836,74,37,7,3,2265
2011-02-08,15,3,844,75,37,7,3,2277
2011-02-09,14,3,807,71,35,7,3,2288
2011-02-10,16,4,902,80,40,8,4,2300
2011-02-11,13,3,762,67,33,6,3,2310
2011-02-12,14,3,1267,111,55,7,3,2321
2011-02-13,15,3,1307,114,57,7,3,2333
2011-02-14,16,4,909,80,40,8,4,2345
2011-02-15,16,4,931,81,40,8,4,2357
2011-02-16,13,3,775,67,33,6,3,2367
2011-02-17,12,3,742,64,32,6,3,2376
2011-02-18,17,4,994,86,43,8,4,2389
2011-02-19,15,3,1372,118,58,7,3,2401
2011-02-20,14,3,1233,106,52,7,3,2412
2011-02-21,17,4,1031,89,44,8,4,2425
2011-02-22,15,3,907,78,39,7,3,2437
2011-02-23,17,4,1007,87,43,8,4,2450
2011-02-24,15,3,910,78,39,7,3,2462
2011-02-25,18,4,1096,94,47,9,4,2476
2011-02-26,18,4,1608,138,69,9,4,2490
2011-02-27,15,3,1340,114,57,7,3,2502
2011-02-28,17,4,1009,86,43,8,4,2515
2011-03-01,16,4,982,84,42,8,4,2527
2011-03-02,17,4,1053,89,44,8,4,2540
2011-03-03,14,3,840,71,35,7,3,2551
2011-03-04,16,4,997,84,42,8,4,2563
2011-03-05,17,4,1555,132,66,8,4,2576
2011-03-06,13,3,1163,97,48,6,3,2586
2011-03-07,14,3,831,70,35,7,3,2597
2011-03-08,12,3,753,63,31,6,3,2606
2011-03-09,15,3,924,78,39,7,3,2618
2011-03-10,17,4,1023,86,43,8,4,2631
2011-03-11,18,4,1101,92,46,9,4,2645
2011-03-12,16,4,1450,121,60,8,4,2657
2011-03-13,18,4,1680,141,70,9,4,2671
2011-03-14,14,3,833,70,35,7,3,2682
2011-03-15,13,3,804,67,33,6,3,2692
2011-03-16,16,4,967,81,40,8,4,2704
2011-03-17,17,4,1013,85,42,8,4,2717
2011-03-18,16,4,975,81,40,8,4,2729
2011-03-19,13,3,1167,97,48,6,3,2739
2011-03-20,16,4,1464,121,60,8,4,2751
2011-03-21,14,3,858,71,35,7,3,2762
2011-03-22,17,4,1057,88,44,8,4,2775
2011-03-23,17,4,1029,86,43,8,4,2788
2011-03-24,15,3,902,75,37,7,3,2800
2011-03-25,15,3,947,79,39,7,3,2812
2011-03-26,14,3,1342,111,55,7,3,2823
2011-03-27,16,4,1496,124,61,8,4,2835
2011-03-28,18,4,1102,91,45,9,4,2849
2011-03-29,15,3,909,75,37,7,3,2861
2011-03-30,17,4,1061,88,44,8,4,2874
2011-03-31,16,4,959,80,40,8,4,2886
2011-04-01,15,3,934,77,38,7,3,2898
2011-04-02,16,4,1510,124,61,8,4,2910
2011-04-03,15,3,1371,114,57,7,3,2922
2011-04-04,16,4,965,80,40,8,4,2934
2011-04-05,15,3,902,75,37,7,3,2946
2011-04-06,20,5,1228,102,51,10,5,2961
2011-04-07,17,4,1032,86,43,8,4,2974
2011-04-08,15,3,958,79,39,7,3,2986
2011-04-09,17,4,1582,132,66,8,4,2999
2011-04-10,17,4,1534,127,63,8,4,3012
2011-04-11,16,4,1013,84,42,8,4,3024
2011-04-12,18,4,1101,92,46,9,4,3038
2011-04-13,18,4,1118,93,46,9,4,3052
2011-04-14,16,4,986,82,41,8,4,3064
2011-04-15,16,4,982,82,41,8,4,3076
2011-04-16,17,4,1524,127,63,8,4,3089
2011-04-17,13,3,1208,100,49,6,3,3099
2011-04-18,14,3,888,74,37,7,3,3110
2011-04-19,20,5,1192,100,50,10,5,3125
2011-04-20,20,5,1222,102,51,10,5,3140
2011-04-21,17,4,1025,86,43,8,4,3153
2011-04-22,18,4,1113,93,46,9,4,3167
2011-04-23,18,4,1629,136,67,9,4,3181
2011-04-24,23,5,2069,174,87,11,5,3199
2011-04-25,19,4,1174,99,49,9,4,3214
2011-04-26,17,4,1043,88,44,8,4,3227
2011-04-27,16,4,956,80,40,8,4,3239
2011-04-28,15,3,889,75,37,7,3,3251
2011-04-29,18,4,1081,91,45,9,4,3265
2011-04-30,16,4,1469,124,61,8,4,3277
2011-05-01,15,3,1365,115,57,7,3,3289
2011-05-02,16,4,993,84,42,8,4,3301
2011-05-03,16,4,947,80,40,8,4,3313
2011-05-04,21,5,1242,106,53,10,5,3329
2011-05-05,19,4,1157,99,49,9,4,3344
2011-05-06,18,4,1063,91,45,9,4,3358
2011-05-07,20,5,1833,156,78,10,5,3373
2011-05-08,18,4,1610,138,69,9,4,3387
2011-05-09,16,4,973,83,41,8,4,3399
2011-05-10,21,5,1227,105,52,10,5,3415
2011-05-11,19,4,1123,97,48,9,4,3430
2011-05-12,16,4,955,82,41,8,4,3442
2011-05-13,18,4,1045,90,45,9,4,3456
2011-05-14,16,4,1460,126,63,8,4,3468
2011-05-15,16,4,1377,120,60,8,4,3480
2011-05-16,20,5,1165,101,50,10,5,3495
2011-05-17,22,5,1269,111,55,11,5,3512
2011-05-18,16,4,916,80,40,8,4,3524
2011-05-19,19,4,1126,98,49,9,4,3539
2011-05-20,17,4,996,87,43,8,4,3552
2011-05-21,17,4,1520,133,66,8,4,3565
2011-05-22,17,4,1503,132,66,8,4,3578
2011-05-23,17,4,972,86,43,8,4,3591
2011-05-24,19,4,1069,95,47,9,4,3606
2011-05-25,17,4,974,86,43,8,4,3619
2011-05-26,19,4,1092,97,48,9,4,3634
2011-05-27,18,4,1057,94,47,9,4,3648
2011-05-28,18,4,1555,139,69,9,4,3662
2011-05-29,17,4,1447,129,64,8,4,3675
2011-05-30,18,4,999,90,45,9,4,3689
2011-05-31,20,5,1140,103,51,10,5,3704
2011-06-01,20,5,1112,100,50,10,5,3719
2011-06-02,17,4,955,86,43,8,4,3732
2011-06-03,19,4,1068,97,48,9,4,3747
2011-06-04,20,5,1703,154,76,10,5,3762
2011-06-05,16,4,1319,120,60,8,4,3774
2011-06-06,20,5,1112,102,51,10,5,3789
2011-06-07,18,4,984,90,45,9,4,3803
2011-06-08,20,5,1113,102,51,10,5,3818
2011-06-09,18,4,971,90,45,9,4,3832
2011-06-10,16,4,861,80,40,8,4,3844
2011-06-11,16,4,1317,121,60,8,4,3856
2011-06-12,19,4,1579,147,73,9,4,3871
2011-06-13,20,5,1074,100,50,10,5,3886
2011-06-14,17,4,951,89,44,8,4,3899
2011-06-15,20,5,1111,104,52,10,5,3914
2011-06-16,16,4,870,82,41,8,4,3926
2011-06-17,19,4,1034,98,49,9,4,3941
2011-06-18,17,4,1372,130,64,8,4,3954
2011-06-19,18,4,1457,138,69,9,4,3968
2011-06-20,20,5,1042,100,50,10,5,3983
2011-06-21,18,4,947,91,45,9,4,3997
2011-06-22,19,4,995,96,48,9,4,4012
2011-06-23,22,5,1137,110,55,11,5,4029
2011-06-24,18,4,972,94,47,9,4,4043
2011-06-25,21,5,1675,162,81,10,5,4059
2011-06-26,17,4,1369,133,66,8,4,4072
2011-06-27,21,5,1082,106,53,10,5,4088
2011-06-28,23,5,1173,115,57,11,5,4106
2011-06-29,15,3,771,76,38,7,3,4118
2011-06-30,18,4,941,93,46,9,4,4132
2011-07-01,21,5,1080,107,53,10,5,4148
2011-07-02,19,4,1498,148,73,9,4,4163
2011-07-03,21,5,1584,157,78,10,5,4179
2011-07-04,19,4,955,96,48,9,4,4194
2011-07-05,20,5,4092,103,204,40,20,4209
2011-07-06,20,5,996,100,50,10,5,4224
2011-07-07,22,5,1129,114,57,11,5,4241
2011-07-08,21,5,1035,105,52,10,5,4257
2011-07-09,21,5,1563,159,79,10,5,4273
2011-07-10,19,4,1446,148,73,9,4,4288
2011-07-11,19,4,955,98,49,9,4,4303
2011-07-12,19,4,959,99,49,9,4,4318
2011-07-13,21,5,1040,107,53,10,5,4334
2011-07-14,19,4,956,99,49,9,4,4349
2011-07-15,21,5,1026,107,53,10,5,4365
2011-07-16,25,6,1804,189,94,12,6,4384
2011-07-17,22,5,1621,169,84,11,5,4401
2011-07-18,20,5,960,101,50,10,5,4416
2011-07-19,23,5,1110,117,58,11,5,4434
2011-07-20,20,5,949,100,50,10,5,4449
2011-07-21,16,4,786,83,41,8,4,4461
2011-07-22,18,4,886,94,47,9,4,4475
2011-07-23,17,4,1199,127,63,8,4,4488
2011-07-24,20,5,1422,153,76,10,5,4503
2011-07-25,21,5,982,106,53,10,5,4519
2011-07-26,24,6,4573,124,248,48,24,4537
2011-07-27,21,5,1009,109,54,10,5,4553
2011-07-28,20,5,954,104,52,10,5,4568
2011-07-29,23,5,1055,115,57,11,5,4586
2011-07-30,16,4,1135,124,61,8,4,4598
2011-07-31,21,5,1490,163,81,10,5,4614
2011-08-01,23,5,1044,115,57,11,5,4632
2011-08-02,18,4,825,91,45,9,4,4646
2011-08-03,24,6,1077,120,60,12,6,4664
2011-08-04,22,5,997,111,55,11,5,4681
2011-08-05,20,5,923,103,51,10,5,4696
